1	902060	902210
1	902300	902450
1	1207720	1207870
1	1207980	1208130
1	1208160	1208310
1	1265040	1265190
1	1265360	1265510
1	1265580	1265730
1	1624140	1624290
1	1624480	1624630
1	1624845	1624995
1	1823500	1823650
1	1823660	1823810
1	1823900	1824050
1	1824085	1824235
1	2186860	2187010
1	2187060	2187210
1	2187240	2187390
1	2466120	2466270
1	2466420	2466570
1	2466640	2466790
1	3773720	3773870
1	3773880	3774030
1	3774040	3774190
1	3774200	3774350
1	6259380	6259530
1	6259600	6259750
1	6259760	6259910
1	6259940	6260090
1	6427440	6427590
1	6427620	6427770
1	6427780	6427930
1	6427940	6428090
1	6476820	6476970
1	6549220	6549370
1	6549540	6549690
1	6651125	6651275
1	6651360	6651510
1	6651620	6651770
1	6653060	6653210
1	6653380	6653530
1	6655240	6655390
1	6655500	6655650
1	6659440	6659590
1	6659680	6659830
1	6659900	6660050
1	6660960	6661110
1	6661120	6661270
1	8085040	8085190
1	8085220	8085370
1	8085380	8085530
1	8085540	8085690
1	8086000	8086150
1	8086280	8086430
1	8086440	8086590
1	8086620	8086770
1	8585340	8585490
1	8585620	8585770
1	8585780	8585930
1	8585960	8586110
1	8586120	8586270
1	8929180	8929330
1	8929340	8929490
1	8929720	8929870
1	8933640	8933790
1	8933800	8933950
1	8934080	8934230
1	8938340	8938490
1	8938660	8938810
1	8938845	8938995
1	9353880	9354030
1	9354120	9354270
1	9354280	9354430
1	9826860	9827010
1	9827045	9827195
1	9896360	9896510
1	9896600	9896750
1	9896780	9896930
1	9896940	9897090
1	10003340	10003490
1	10003660	10003810
1	10003840	10003990
1	10555960	10556110
1	10556140	10556290
1	10556300	10556450
1	10556465	10556615
1	10588300	10588450
1	10588500	10588650
1	10588780	10588930
1	10695440	10695590
1	10695620	10695770
1	10695780	10695930
1	10885120	10885270
1	10885360	10885510
1	11072320	11072470
1	11072480	11072630
1	11072640	11072790
1	11072800	11072950
1	11073020	11073170
1	11967900	11968050
1	11968160	11968310
1	11968320	11968470
1	11968480	11968630
1	11968680	11968830
1	11968840	11968990
1	11969460	11969610
1	11969660	11969810
1	11969860	11970010
1	11970040	11970190
1	12041400	12041550
1	12041580	12041730
1	12041800	12041950
1	12041960	12042110
1	12540520	12540670
1	12540860	12541010
1	12541020	12541170
1	12541180	12541330
1	15504840	15504990
1	15505120	15505270
1	15505400	15505550
1	15679000	15679150
1	15679160	15679310
1	16160800	16160950
1	16161000	16161150
1	16161280	16161430
1	16161440	16161590
1	16162420	16162570
1	16162660	16162810
1	16162900	16163050
1	16175780	16175930
1	16175940	16176090
1	16176160	16176310
